"DRIVERSTANDINGSID","RACEID","DRIVERID","POINTS","POSITION","POSITIONTEXT","WINS","YEAR","ROUND","NAME","DRIVERREF","FINAL","DRIVER_POSITION_BEFORE_RACE","DRIVER_POINTS_BEFORE_RACE","POSITION_POINTS_BEFORE_RACE","POINTS_OF_LOWER_POSITION","POINTS_OF_LOWER_POSITION_BEFORE_RACE","DELTA_POINTS_TO_LOWER_POSITION","DELTA_POINTS_TO_LOWER_POSITION_BEFORE_RACE","CHANGE_DELTA_BEFORE_AND_AFTER_RACE"
2,18,2,8,2,"2",0,2008,1,"Australian Grand Prix","heidfeld","N",13,19,84,6,77,2,7,-5
3,18,3,6,3,"3",0,2008,1,"Australian Grand Prix","rosberg","N",7,34.5,77,5,69.5,1,7.5,-6.5
5,18,5,4,5,"5",0,2008,1,"Australian Grand Prix","kovalainen","N",12,22,49,3,48,1,1,0
6,18,6,3,6,"6",0,2008,1,"Australian Grand Prix","nakajima","N",20,0,48,2,34.5,1,13.5,-12.5
7,18,7,2,7,"7",0,2008,1,"Australian Grand Prix","bourdais","N",19,2,34.5,1,32.5,1,2,-1
12,19,4,6,7,"7",0,2008,2,"Malaysian Grand Prix","alonso","N",4,5,2,5,1,1,1,0
13,19,5,10,4,"4",0,2008,2,"Malaysian Grand Prix","kovalainen","N",5,4,5,8,4,2,1,1
15,19,7,2,10,"10",0,2008,2,"Malaysian Grand Prix","bourdais","N",7,2,24,2,22,0,2,-2
16,19,8,11,2,"2",1,2008,2,"Malaysian Grand Prix","raikkonen","N",8,1,8,11,6,0,2,-2
19,19,17,2,11,"11",0,2008,2,"Malaysian Grand Prix","webber","N",4,69.5,22,0,22,2,0,2
20,19,14,0,12,"12",0,2008,2,"Malaysian Grand Prix","coulthard","N",,,22,0,19,0,3,-3
21,19,18,0,13,"13",0,2008,2,"Malaysian Grand Prix","button","N",1,95,19,0,17,0,2,-2
22,19,12,0,14,"14",0,2008,2,"Malaysian Grand Prix","piquet_jr","N",21,0,17,0,8,0,9,-9
29,20,3,7,8,"8",0,2008,3,"Bahrain Grand Prix","rosberg","N",6,6,5,6,3,1,2,-1
36,20,15,8,7,"7",0,2008,3,"Bahrain Grand Prix","trulli","N",8,5,6,7,5,1,1,0
39,20,18,0,15,"15",0,2008,3,"Bahrain Grand Prix","button","N",13,0,0,0,0,0,0,0
50,21,3,7,9,"9",0,2008,4,"Spanish Grand Prix","rosberg","N",8,7,6,6,4,1,2,-1
53,21,6,5,11,"11",0,2008,4,"Spanish Grand Prix","nakajima","N",11,3,3,3,2,2,1,1
56,21,9,19,3,"3",0,2008,4,"Spanish Grand Prix","kubica","N",4,14,14,18,14,1,0,1
60,21,18,3,12,"12",0,2008,4,"Spanish Grand Prix","button","N",15,0,2,2,0,1,2,-1
63,21,22,0,17,"17",0,2008,4,"Spanish Grand Prix","barrichello","N",16,0,0,0,0,0,0,0
67,21,10,0,14,"14",0,2008,4,"Spanish Grand Prix","glock","N",14,0,0,0,0,0,0,0
70,22,2,20,5,"5",0,2008,5,"Turkish Grand Prix","heidfeld","N",5,16,16,14,14,6,2,4
84,22,22,0,17,"17",0,2008,5,"Turkish Grand Prix","barrichello","N",17,0,0,0,0,0,0,0
88,22,10,0,15,"15",0,2008,5,"Turkish Grand Prix","glock","N",14,0,0,0,0,0,0,0
91,23,1,38,1,"1",2,2008,6,"Monaco Grand Prix","hamilton","N",3,28,35,35,28,3,7,-4
95,23,5,15,6,"6",0,2008,6,"Monaco Grand Prix","kovalainen","N",6,14,14,15,10,0,4,-4
98,23,8,35,2,"2",2,2008,6,"Monaco Grand Prix","raikkonen","N",1,35,28,34,28,1,0,1
101,23,17,15,7,"7",0,2008,6,"Monaco Grand Prix","webber","N",7,10,10,9,9,6,1,5
108,23,11,0,20,"20",0,2008,6,"Monaco Grand Prix","sato","N",19,0,0,0,0,0,0,0
114,24,2,28,5,"5",0,2008,7,"Canadian Grand Prix","heidfeld","N",5,20,20,15,15,13,5,8
124,24,14,6,12,"12",0,2008,7,"Canadian Grand Prix","coulthard","N",16,0,4,5,3,1,1,0
128,24,22,5,15,"15",0,2008,7,"Canadian Grand Prix","barrichello","N",14,3,2,3,0,2,2,0
135,25,1,38,4,"4",2,2008,8,"French Grand Prix","hamilton","N",2,38,35,28,28,10,7,3
138,25,4,10,9,"9",0,2008,8,"French Grand Prix","alonso","N",9,9,9,8,8,2,1,1
144,25,15,18,7,"7",0,2008,8,"French Grand Prix","trulli","N",8,12,15,18,12,0,3,-3
147,25,18,3,16,"16",0,2008,8,"French Grand Prix","button","N",16,3,3,2,2,1,1,0
157,26,1,48,1,"1",3,2008,9,"British Grand Prix","hamilton","N",4,38,48,48,46,0,2,-2
160,26,4,13,9,"9",0,2008,9,"British Grand Prix","alonso","N",9,10,10,11,8,2,2,0
167,26,17,18,8,"8",0,2008,9,"British Grand Prix","webber","N",8,18,18,13,10,5,8,-3
170,26,12,2,18,"18",0,2008,9,"British Grand Prix","piquet_jr","N",17,2,2,0,0,2,2,0
176,26,10,5,14,"14",0,2008,9,"British Grand Prix","glock","N",13,5,5,5,5,0,0,0
180,27,2,41,5,"5",0,2008,10,"German Grand Prix","heidfeld","N",5,36,36,28,24,13,12,1
189,27,17,18,8,"8",0,2008,10,"German Grand Prix","webber","N",8,18,18,13,13,5,5,0
195,27,19,0,22,"22",0,2008,10,"German Grand Prix","davidson","N",21,0,0,,,,,
199,27,16,0,21,"21",0,2008,10,"German Grand Prix","sutil","N",22,0,0,0,0,0,0,0
202,28,2,41,5,"5",0,2008,11,"Hungarian Grand Prix","heidfeld","N",5,41,41,38,28,3,13,-10
205,28,5,38,6,"6",1,2008,11,"Hungarian Grand Prix","kovalainen","N",6,28,28,22,20,16,8,8
209,28,9,49,4,"4",1,2008,11,"Hungarian Grand Prix","kubica","N",4,48,48,41,41,8,7,1
212,28,14,6,15,"15",0,2008,11,"Hungarian Grand Prix","coulthard","N",14,6,6,6,5,0,1,-1
219,28,13,54,3,"3",3,2008,11,"Hungarian Grand Prix","massa","N",2,54,51,49,48,5,3,2
226,29,4,18,8,"8",0,2008,12,"European Grand Prix","alonso","N",8,18,18,18,18,0,0,0
229,29,7,2,18,"18",0,2008,12,"European Grand Prix","bourdais","N",18,2,2,0,0,2,2,0
236,29,12,13,11,"11",0,2008,12,"European Grand Prix","piquet_jr","N",11,13,13,11,11,2,2,0
239,29,19,0,22,"22",0,2008,12,"European Grand Prix","davidson","N",22,0,0,,,,,
242,29,10,15,10,"10",0,2008,12,"European Grand Prix","glock","N",10,13,13,13,13,2,0,2
246,30,2,49,5,"5",0,2008,13,"Belgian Grand Prix","heidfeld","N",6,41,43,43,41,6,2,4
249,30,5,43,6,"6",1,2008,13,"Belgian Grand Prix","kovalainen","N",5,43,41,26,26,17,15,2
255,30,17,19,9,"9",0,2008,13,"Belgian Grand Prix","webber","N",9,18,18,15,15,4,3,1
262,30,11,0,21,"21",0,2008,13,"Belgian Grand Prix","sato","N",20,0,0,0,0,0,0,0
265,30,16,0,20,"20",0,2008,13,"Belgian Grand Prix","sutil","N",21,0,0,0,0,0,0,0
268,31,2,53,5,"5",0,2008,14,"Italian Grand Prix","heidfeld","N",5,49,49,51,43,2,6,-4
271,31,5,51,6,"6",1,2008,14,"Italian Grand Prix","kovalainen","N",6,43,43,28,26,23,17,6
275,31,9,64,3,"3",1,2008,14,"Italian Grand Prix","kubica","N",3,58,58,57,57,7,1,6
281,31,21,0,19,"19",0,2008,14,"Italian Grand Prix","fisichella","N",19,0,0,0,0,0,0,0
284,31,11,0,21,"21",0,2008,14,"Italian Grand Prix","sato","N",21,0,0,0,0,0,0,0
286,31,10,15,11,"11",0,2008,14,"Italian Grand Prix","glock","N",10,15,13,13,13,2,0,2
287,31,16,0,20,"20",0,2008,14,"Italian Grand Prix","sutil","N",20,0,0,0,0,0,0,0
288,31,20,23,9,"9",1,2008,14,"Italian Grand Prix","vettel","N",12,13,19,20,15,3,4,-1
289,32,1,84,1,"1",4,2008,15,"Singapore Grand Prix","hamilton","N",1,78,78,77,77,7,1,6
290,32,2,56,5,"5",0,2008,15,"Singapore Grand Prix","heidfeld","N",5,53,53,51,51,5,2,3
292,32,4,38,7,"7",1,2008,15,"Singapore Grand Prix","alonso","N",7,28,28,27,26,11,2,9
294,32,6,9,15,"15",0,2008,15,"Singapore Grand Prix","nakajima","N",15,8,8,8,6,1,2,-1
295,32,7,4,17,"17",0,2008,15,"Singapore Grand Prix","bourdais","N",17,4,4,3,3,1,1,0
296,32,8,57,4,"4",2,2008,15,"Singapore Grand Prix","raikkonen","N",4,57,57,56,53,1,4,-3
297,32,9,64,3,"3",1,2008,15,"Singapore Grand Prix","kubica","N",3,64,64,57,57,7,7,0
298,32,15,26,9,"9",0,2008,15,"Singapore Grand Prix","trulli","N",8,26,23,20,20,6,3,3
299,32,17,20,11,"11",0,2008,15,"Singapore Grand Prix","webber","N",10,20,15,17,13,3,2,1
300,32,14,8,16,"16",0,2008,15,"Singapore Grand Prix","coulthard","N",16,6,6,4,4,4,2,2
301,32,18,3,18,"18",0,2008,15,"Singapore Grand Prix","button","N",18,3,3,0,0,3,3,0
303,32,21,0,19,"19",0,2008,15,"Singapore Grand Prix","fisichella","N",19,0,0,0,0,0,0,0
305,32,19,0,22,"22",0,2008,15,"Singapore Grand Prix","davidson","N",22,0,0,,,,,
308,32,10,20,10,"10",0,2008,15,"Singapore Grand Prix","glock","N",11,15,20,20,15,0,5,-5
311,33,1,84,1,"1",4,2008,16,"Japanese Grand Prix","hamilton","N",1,84,84,79,77,5,7,-2
315,33,5,51,6,"6",1,2008,16,"Japanese Grand Prix","kovalainen","N",6,51,51,48,38,3,13,-10
321,33,17,21,10,"10",0,2008,16,"Japanese Grand Prix","webber","N",11,20,20,20,20,1,0,1
324,33,12,18,12,"12",0,2008,16,"Japanese Grand Prix","piquet_jr","N",13,13,17,17,13,1,4,-3
331,33,16,0,20,"20",0,2008,16,"Japanese Grand Prix","sutil","N",20,0,0,0,0,0,0,0
3458,34,16,0,20,"20",0,2008,17,"Chinese Grand Prix","sutil","N",20,0,0,0,0,0,0,0
3451,34,12,19,12,"12",0,2008,17,"Chinese Grand Prix","piquet_jr","N",12,18,18,17,17,2,1,1
3445,34,8,69,4,"4",2,2008,17,"Chinese Grand Prix","raikkonen","N",4,63,63,60,56,9,7,2
3442,34,5,51,7,"7",1,2008,17,"Chinese Grand Prix","kovalainen","N",6,51,48,30,30,21,18,3
3438,34,1,94,1,"1",5,2008,17,"Chinese Grand Prix","hamilton","N",1,84,84,87,79,7,5,2
357,35,3,17,13,"13",0,2008,18,"Brazilian Grand Prix","rosberg","Y",13,17,17,11,11,6,6,0
360,35,6,9,15,"15",0,2008,18,"Brazilian Grand Prix","nakajima","Y",15,9,9,8,8,1,1,0
371,35,19,0,22,"22",0,2008,18,"Brazilian Grand Prix","davidson","Y",22,0,0,,,,,
13629,36,16,0,17,"17",0,2007,1,"Australian Grand Prix","sutil","N",20,0,4,,3,,1,
13625,36,17,0,13,"13",0,2007,1,"Australian Grand Prix","webber","N",11,21,17,0,11,0,6,-6
13622,36,5,0,10,"10",0,2007,1,"Australian Grand Prix","kovalainen","N",7,53,25,0,21,0,4,-4
13618,36,13,3,6,"6",0,2007,1,"Australian Grand Prix","massa","N",2,97,60,2,53,1,7,-6
13641,37,11,0,14,"14",0,2007,2,"Malaysian Grand Prix","sato","N",12,0,0,0,0,0,0,0
13638,37,15,2,7,"7",0,2007,2,"Malaysian Grand Prix","trulli","N",9,0,2,2,1,0,1,-1
13670,38,27,0,18,"18",0,2007,3,"Bahrain Grand Prix","albers","N",,,0,0,0,0,0,0
13660,38,22,0,14,"14",0,2007,3,"Bahrain Grand Prix","barrichello","N",13,0,0,0,0,0,0,0
13657,38,23,1,11,"11",0,2007,3,"Bahrain Grand Prix","ralf_schumacher","N",10,1,0,0,0,1,0,1
13654,38,21,8,6,"6",0,2007,3,"Bahrain Grand Prix","fisichella","N",5,7,7,4,2,4,5,-1
13691,39,27,0,20,"20",0,2007,4,"Spanish Grand Prix","albers","N",18,0,0,0,0,0,0,0
13687,39,16,0,19,"19",0,2007,4,"Spanish Grand Prix","sutil","N",20,0,0,0,0,0,0,0
13686,39,19,0,17,"17",0,2007,4,"Spanish Grand Prix","davidson","N",21,0,0,0,0,0,0,0
13678,39,23,1,13,"13",0,2007,4,"Spanish Grand Prix","ralf_schumacher","N",11,1,0,0,0,1,0,1
13711,40,26,0,15,"15",0,2007,5,"Monaco Grand Prix","speed","N",22,0,0,0,0,0,0,0
13708,40,19,0,19,"19",0,2007,5,"Monaco Grand Prix","davidson","N",17,0,0,0,0,0,0,0
13702,40,5,3,11,"11",0,2007,5,"Monaco Grand Prix","kovalainen","N",11,3,3,2,1,1,2,-1
13697,40,21,13,6,"6",0,2007,5,"Monaco Grand Prix","fisichella","N",7,8,8,12,8,1,0,1
13722,41,23,2,14,"14",0,2007,6,"Canadian Grand Prix","ralf_schumacher","N",14,1,1,0,0,2,1,1
13757,42,27,0,22,"22",0,2007,7,"United States Grand Prix","albers","N",21,0,0,0,,0,,
13753,42,16,0,21,"21",0,2007,7,"United States Grand Prix","sutil","N",20,0,0,0,0,0,0,0
13743,42,3,5,11,"11",0,2007,7,"United States Grand Prix","rosberg","N",10,5,4,4,4,1,0,1
13738,42,4,48,2,"2",2,2007,7,"United States Grand Prix","alonso","N",2,40,40,39,33,9,7,2
13780,43,27,0,22,"22",0,2007,8,"French Grand Prix","albers","N",22,0,0,0,0,0,0,0
13773,43,24,0,23,"23",0,2007,8,"French Grand Prix","liuzzi","N",23,0,0,,,,,
13765,43,13,47,3,"3",2,2007,8,"French Grand Prix","massa","N",3,39,39,42,32,5,7,-2
13805,44,20,1,17,"17",0,2007,9,"British Grand Prix","vettel","N",17,1,1,0,0,1,1,0
13802,44,9,22,6,"6",0,2007,9,"British Grand Prix","kubica","N",6,17,17,17,16,5,1,4
13796,44,24,0,23,"23",0,2007,9,"British Grand Prix","liuzzi","N",23,0,0,,,,,
13792,44,5,14,8,"8",0,2007,9,"British Grand Prix","kovalainen","N",8,12,12,8,8,6,4,2
13787,44,21,17,7,"7",0,2007,9,"British Grand Prix","fisichella","N",7,16,16,14,12,3,4,-1
13817,45,11,4,14,"14",0,2007,10,"European Grand Prix","sato","N",13,4,2,2,2,2,0,2
13814,45,15,7,12,"12",0,2007,10,"European Grand Prix","trulli","N",10,7,4,5,4,2,0,2
13832,46,2,42,5,"5",0,2007,11,"Hungarian Grand Prix","heidfeld","N",5,36,36,28,24,14,12,2
13849,46,27,0,22,"22",0,2007,11,"Hungarian Grand Prix","albers","N",22,0,0,0,0,0,0,0
13843,46,18,1,16,"16",0,2007,11,"Hungarian Grand Prix","button","N",16,1,1,1,1,0,0,0
13842,46,24,0,23,"23",0,2007,11,"Hungarian Grand Prix","liuzzi","N",23,0,0,,,,,
13840,46,11,4,15,"15",0,2007,11,"Hungarian Grand Prix","sato","N",14,4,2,1,1,3,1,2
13838,46,5,16,8,"8",0,2007,11,"Hungarian Grand Prix","kovalainen","N",8,15,15,13,13,3,2,1
13835,46,3,7,12,"12",0,2007,11,"Hungarian Grand Prix","rosberg","N",13,5,7,7,5,0,2,-2
13856,47,21,17,8,"8",0,2007,12,"Turkish Grand Prix","fisichella","N",7,17,16,13,13,4,3,1
13875,47,29,0,24,"24",0,2007,12,"Turkish Grand Prix","yamamoto","N",,,0,,0,,0,
13874,47,20,1,17,"17",0,2007,12,"Turkish Grand Prix","vettel","N",17,1,1,0,0,1,1,0
13872,47,27,0,22,"22",0,2007,12,"Turkish Grand Prix","albers","N",22,0,0,0,0,0,0,0
13871,47,9,29,6,"6",0,2007,12,"Turkish Grand Prix","kubica","N",6,28,28,19,17,10,11,-1
13869,47,25,13,9,"9",0,2007,12,"Turkish Grand Prix","wurz","N",9,13,13,9,8,4,5,-1
13868,47,16,0,21,"21",0,2007,12,"Turkish Grand Prix","sutil","N",21,0,0,0,0,0,0,0
13867,47,19,0,20,"20",0,2007,12,"Turkish Grand Prix","davidson","N",20,0,0,0,0,0,0,0
13866,47,18,1,16,"16",0,2007,12,"Turkish Grand Prix","button","N",16,1,1,1,1,0,0,0
13865,47,24,0,23,"23",0,2007,12,"Turkish Grand Prix","liuzzi","N",23,0,0,0,,0,,
13864,47,17,8,11,"11",0,2007,12,"Turkish Grand Prix","webber","N",10,8,8,8,7,0,1,-1
13862,47,22,0,18,"18",0,2007,12,"Turkish Grand Prix","barrichello","N",18,0,0,0,0,0,0,0
13896,48,27,0,22,"22",0,2007,13,"Italian Grand Prix","albers","N",22,0,0,0,0,0,0,0
13890,48,18,2,16,"16",0,2007,13,"Italian Grand Prix","button","N",16,1,1,1,1,1,0,1
13887,48,11,4,15,"15",0,2007,13,"Italian Grand Prix","sato","N",15,4,4,2,1,2,3,-1
13884,48,15,7,13,"13",0,2007,13,"Italian Grand Prix","trulli","N",13,7,7,5,5,2,2,0
13921,49,14,8,12,"12",0,2007,14,"Belgian Grand Prix","coulthard","N",12,8,8,7,7,1,1,0
13918,49,26,0,19,"19",0,2007,14,"Belgian Grand Prix","speed","N",19,0,0,0,0,0,0,0
13915,49,19,0,20,"20",0,2007,14,"Belgian Grand Prix","davidson","N",20,0,0,0,0,0,0,0
13912,49,17,10,11,"11",0,2007,14,"Belgian Grand Prix","webber","N",11,8,8,8,8,2,0,2
13909,49,5,22,7,"7",0,2007,14,"Belgian Grand Prix","kovalainen","N",7,21,21,17,17,5,4,1
13947,50,29,0,23,"23",0,2007,15,"Japanese Grand Prix","yamamoto","N",24,0,0,0,0,0,0,0
13940,50,16,1,17,"17",0,2007,15,"Japanese Grand Prix","sutil","N",22,0,1,1,0,0,1,-1
13934,50,22,0,19,"19",0,2007,15,"Japanese Grand Prix","barrichello","N",18,0,0,0,0,0,0,0
13929,50,13,80,4,"4",3,2007,15,"Japanese Grand Prix","massa","N",4,77,77,56,56,24,21,3
13951,51,2,58,5,"5",0,2007,16,"Chinese Grand Prix","heidfeld","N",5,56,56,35,35,23,21,2
13968,51,27,0,24,"24",0,2007,16,"Chinese Grand Prix","albers","N",24,0,0,,,,,
13959,51,11,4,17,"17",0,2007,16,"Chinese Grand Prix","sato","N",15,4,1,3,1,1,0,1
13956,51,15,7,13,"13",0,2007,16,"Chinese Grand Prix","trulli","N",13,7,7,6,5,1,2,-1
13996,52,6,0,22,"22",0,2007,17,"Brazilian Grand Prix","nakajima","Y",15,9,0,0,0,0,0,0
13989,52,25,13,11,"11",0,2007,17,"Brazilian Grand Prix","wurz","Y",11,13,13,10,10,3,3,0
13986,52,18,6,15,"15",0,2007,17,"Brazilian Grand Prix","button","Y",15,6,6,5,5,1,1,0
13983,52,11,4,17,"17",0,2007,17,"Brazilian Grand Prix","sato","Y",17,4,4,3,3,1,1,0
12823,53,33,0,17,"17",0,2006,1,"Bahrain Grand Prix","monteiro","N",,,4,0,3,0,1,-1
12820,53,23,0,14,"14",0,2006,1,"Bahrain Grand Prix","ralf_schumacher","N",16,5,6,0,6,0,0,0
12817,53,24,0,11,"11",0,2006,1,"Bahrain Grand Prix","liuzzi","N",18,3,13,0,10,0,3,-3
12810,53,18,5,4,"4",0,2006,1,"Bahrain Grand Prix","button","N",15,6,94,4,61,1,33,-32
12843,54,21,10,4,"4",1,2006,2,"Malaysian Grand Prix","fisichella","N",8,21,5,9,4,1,1,0
12839,54,22,0,14,"14",0,2006,2,"Malaysian Grand Prix","barrichello","N",15,0,0,0,0,0,0,0
12836,54,2,0,18,"18",0,2006,2,"Malaysian Grand Prix","heidfeld","N",12,0,0,0,,0,,
12833,54,13,4,7,"7",0,2006,2,"Malaysian Grand Prix","massa","N",9,0,2,3,1,1,1,0
12830,54,17,3,8,"8",0,2006,2,"Malaysian Grand Prix","webber","N",6,3,1,2,0,1,1,0
12863,55,11,0,20,"20",0,2006,3,"Australian Grand Prix","sato","N",21,0,0,0,0,0,0,0
12853,55,32,1,15,"15",0,2006,3,"Australian Grand Prix","klien","N",12,1,0,0,0,1,0,1
12846,55,4,28,1,"1",2,2006,3,"Australian Grand Prix","alonso","N",1,18,18,14,11,14,7,7
12887,56,35,5,11,"11",0,2006,4,"San Marino Grand Prix","villeneuve","N",9,5,3,2,2,3,1,2
12883,56,15,0,17,"17",0,2006,4,"San Marino Grand Prix","trulli","N",17,0,0,0,0,0,0,0
12880,56,26,0,16,"16",0,2006,4,"San Marino Grand Prix","speed","N",16,0,0,0,0,0,0,0
12873,56,17,6,9,"9",0,2006,4,"San Marino Grand Prix","webber","N",11,3,5,5,4,1,1,0
12870,56,8,18,3,"3",0,2006,4,"San Marino Grand Prix","raikkonen","N",3,14,14,15,11,3,3,0
12911,57,34,0,22,"22",0,2006,5,"European Grand Prix","ide","N",22,0,0,,,,,
12908,57,21,18,4,"4",1,2006,5,"European Grand Prix","fisichella","N",4,15,15,15,15,3,0,3
12901,57,2,5,12,"12",0,2006,5,"European Grand Prix","heidfeld","N",10,5,2,4,2,1,0,1
12895,57,17,6,10,"10",0,2006,5,"European Grand Prix","webber","N",9,6,5,6,5,0,0,0
12891,57,30,31,2,"2",2,2006,5,"European Grand Prix","michael_schumacher","N",2,21,21,23,18,8,3,5
12932,58,27,0,19,"19",0,2006,6,"Spanish Grand Prix","albers","N",19,0,0,0,0,0,0,0
12929,58,11,0,21,"21",0,2006,6,"Spanish Grand Prix","sato","N",21,0,0,0,0,0,0,0
12926,58,22,8,8,"8",0,2006,6,"Spanish Grand Prix","barrichello","N",9,6,7,7,6,1,1,0
12923,58,2,6,10,"10",0,2006,6,"Spanish Grand Prix","heidfeld","N",12,5,6,6,6,0,0,0
12920,58,13,20,5,"5",0,2006,6,"Spanish Grand Prix","massa","N",5,15,15,16,15,4,0,4
12955,59,34,0,22,"22",0,2006,7,"Monaco Grand Prix","ide","N",22,0,0,0,,0,,
12952,59,21,27,3,"3",1,2006,7,"Monaco Grand Prix","fisichella","N",4,24,27,27,24,0,3,-3
12949,59,15,0,16,"16",0,2006,7,"Monaco Grand Prix","trulli","N",16,0,0,0,0,0,0,0
12945,59,2,8,10,"10",0,2006,7,"Monaco Grand Prix","heidfeld","N",10,6,6,7,6,1,0,1
12944,59,24,0,18,"18",0,2006,7,"Monaco Grand Prix","liuzzi","N",18,0,0,0,0,0,0,0
12943,59,14,7,11,"11",0,2006,7,"Monaco Grand Prix","coulthard","N",14,1,6,6,6,1,0,1
12941,59,32,1,15,"15",0,2006,7,"Monaco Grand Prix","klien","N",15,1,1,0,0,1,1,0
12940,59,3,4,14,"14",0,2006,7,"Monaco Grand Prix","rosberg","N",13,4,1,1,1,3,0,3
12939,59,17,6,12,"12",0,2006,7,"Monaco Grand Prix","webber","N",11,6,6,6,4,0,2,-2
12938,59,31,23,5,"5",0,2006,7,"Monaco Grand Prix","montoya","N",7,15,20,20,16,3,4,-1
12936,59,8,27,4,"4",0,2006,7,"Monaco Grand Prix","raikkonen","N",3,27,24,23,20,4,4,0
12979,60,36,0,23,"23",0,2006,8,"British Grand Prix","montagny","N",23,0,0,,,,,
12978,60,34,0,22,"22",0,2006,8,"British Grand Prix","ide","N",22,0,0,0,0,0,0,0
12977,60,27,0,19,"19",0,2006,8,"British Grand Prix","albers","N",19,0,0,0,0,0,0,0
12976,60,35,7,12,"12",0,2006,8,"British Grand Prix","villeneuve","N",13,6,6,6,6,1,0,1
12975,60,21,32,4,"4",1,2006,8,"British Grand Prix","fisichella","N",3,27,27,26,23,6,4,2
12974,60,11,0,21,"21",0,2006,8,"British Grand Prix","sato","N",21,0,0,0,0,0,0,0
12973,60,33,0,20,"20",0,2006,8,"British Grand Prix","monteiro","N",20,0,0,0,0,0,0,0
12972,60,15,0,16,"16",0,2006,8,"British Grand Prix","trulli","N",16,0,0,0,0,0,0,0
12967,60,24,0,18,"18",0,2006,8,"British Grand Prix","liuzzi","N",18,0,0,0,0,0,0,0
12964,60,32,1,15,"15",0,2006,8,"British Grand Prix","klien","N",15,1,1,0,0,1,1,0
12957,60,4,74,1,"1",5,2006,8,"British Grand Prix","alonso","N",1,64,64,51,43,23,21,2
13000,61,27,0,19,"19",0,2006,9,"Canadian Grand Prix","albers","N",19,0,0,0,0,0,0,0
12997,61,11,0,21,"21",0,2006,9,"Canadian Grand Prix","sato","N",21,0,0,0,0,0,0,0
12994,61,22,13,8,"8",0,2006,9,"Canadian Grand Prix","barrichello","N",8,13,13,12,10,1,3,-2
12988,61,13,28,5,"5",0,2006,9,"Canadian Grand Prix","massa","N",6,24,26,26,24,2,2,0
12984,61,31,26,6,"6",0,2006,9,"Canadian Grand Prix","montoya","N",5,26,24,16,16,10,8,2
13024,62,34,0,22,"22",0,2006,10,"United States Grand Prix","ide","N",22,0,0,0,0,0,0,0
66617,900,822,10,5,"5",0,2014,1,"Australian Grand Prix","bottas","N",17,4,183,8,171,2,12,-10
66633,900,155,0,21,"21",0,2014,1,"Australian Grand Prix","kobayashi","N",12,60,0,0,0,0,0,0
66621,900,826,2,9,"9",0,2014,1,"Australian Grand Prix","kvyat","N",,,73,1,51,1,22,-21
66634,900,817,0,22,"22",0,2014,1,"Australian Grand Prix","ricciardo","N",14,20,0,,0,,0,
66637,901,18,23,4,"4",0,2014,2,"Malaysian Grand Prix","button","N",3,15,12,20,10,3,2,1
66643,901,826,3,12,"12",0,2014,2,"Malaysian Grand Prix","kvyat","N",9,2,0,1,0,2,0,2
66646,901,821,0,16,"16",0,2014,2,"Malaysian Grand Prix","gutierrez","N",12,0,0,0,0,0,0,0
66650,901,813,0,21,"21",0,2014,2,"Malaysian Grand Prix","maldonado","N",16,0,0,0,0,0,0,0
66653,901,1,25,2,"2",1,2014,2,"Malaysian Grand Prix","hamilton","N",19,0,18,24,15,1,3,-2
66659,902,18,23,5,"5",0,2014,3,"Bahrain Grand Prix","button","N",4,23,20,23,18,0,2,-2
66662,902,807,28,3,"3",0,2014,3,"Bahrain Grand Prix","hulkenberg","N",6,18,24,26,23,2,1,1
66665,902,826,3,14,"14",0,2014,3,"Bahrain Grand Prix","kvyat","N",12,3,0,0,0,3,0,3
66667,902,16,0,16,"16",0,2014,3,"Bahrain Grand Prix","sutil","N",15,0,0,0,0,0,0,0
66676,902,13,12,11,"11",0,2014,3,"Bahrain Grand Prix","massa","N",10,6,4,7,3,5,1,4
66682,903,4,41,3,"3",0,2014,4,"Chinese Grand Prix","alonso","N",4,26,28,36,26,5,2,3
66685,903,8,11,12,"12",0,2014,4,"Chinese Grand Prix","raikkonen","N",12,7,7,4,4,7,3,4
66691,903,820,0,18,"18",0,2014,4,"Chinese Grand Prix","chilton","N",18,0,0,0,0,0,0,0
66694,903,813,0,20,"20",0,2014,4,"Chinese Grand Prix","maldonado","N",20,0,0,0,0,0,0,0
66697,903,1,75,2,"2",3,2014,4,"Chinese Grand Prix","hamilton","N",2,50,50,41,28,34,22,12
66700,903,817,24,6,"6",0,2014,4,"Chinese Grand Prix","ricciardo","N",10,12,23,24,20,0,3,-3
66706,904,807,37,6,"6",0,2014,5,"Spanish Grand Prix","hulkenberg","N",4,36,24,34,24,3,0,3
66709,904,826,4,15,"15",0,2014,5,"Spanish Grand Prix","kvyat","N",14,4,0,0,0,4,0,4
66712,904,821,0,17,"17",0,2014,5,"Spanish Grand Prix","gutierrez","N",17,0,0,0,0,0,0,0
66726,905,4,61,3,"3",0,2014,6,"Monaco Grand Prix","alonso","N",3,49,49,54,45,7,4,3
66732,905,815,20,10,"10",0,2014,6,"Monaco Grand Prix","perez","N",10,20,20,18,17,2,3,-1
66735,905,820,0,20,"20",0,2014,6,"Monaco Grand Prix","chilton","N",18,0,0,0,0,0,0,0
66738,905,813,0,22,"22",0,2014,6,"Monaco Grand Prix","maldonado","N",20,0,0,,,,,
